<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: turtle-kingdom__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
24,PS-TURTLE-KINGDOM,TK-S25,25,step-25,Prepare the cracked-earth foreground,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-SHP-01,GD-COL-01;GD-CRIT-01,,Core
25,PS-TURTLE-KINGDOM,TK-S26,26,step-26,Make an irregular land-to-shore transition,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
26,PS-TURTLE-KINGDOM,TK-S27,27,step-27,Harvest real foam from the ocean image,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-TYP-01,GD-COL-01;GD-TYP-01;GD-MET-01;GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
27,PS-TURTLE-KINGDOM,TK-S28,28,step-28,Use split Blend If to remove darker water,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-EFX-01,GD-CRIT-01;GD-CON-01,,Core
28,PS-TURTLE-KINGDOM,TK-S29,29,step-29,Reveal foam only where surfaces overlap,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01,GD-CRIT-01;GD-REP-01,,Core
29,PS-TURTLE-KINGDOM,TK-S30,30,step-30,Separate distance with subtle horizon haze,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01,GD-CRIT-01;GD-CON-01,,Core
30,PS-TURTLE-KINGDOM,TK-S31,31,step-31,Dodge and burn with editable Curves masks,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02,GD-COL-01;GD-CRIT-01;GD-CON-01;GD-REP-01,TK-OBS-03,Core
31,PS-TURTLE-KINGDOM,TK-S32,32,step-32,Apply a restrained overall grade,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
32,PS-TURTLE-KINGDOM,TK-S33,33,step-33,Guide attention with a gentle vignette,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-HIE-01;GD-ALN-01;GD-CRIT-01;GD-CON-01,,Core
33,PS-TURTLE-KINGDOM,TK-S34,34,step-34,Run the four-join quality check,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-SHP-01;PS-DES-01,GD-HIE-01;GD-COL-01;GD-BRD-01;GD-CRIT-01;GD-CON-01,TK-CON-02,Core
34,PS-TURTLE-KINGDOM,TK-S35,35,step-35,Save the editable master and export a viewing copy,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-LGT-02;PS-TYP-01;PS-OUT-01,GD-COL-01;GD-TYP-01;GD-MET-01;GD-CRIT-01,TK-PRO-01;TK-PRO-02;TK-PRO-03,Core
35,PS-TURTLE-KINGDOM,TK-S36,36,step-36,Explain and demonstrate what you learned,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-OUT-01,GD-COL-01;GD-CRIT-01;GD-REP-01,TK-CON-01,Short
