<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: stormbound__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
12,PS-STORMBOUND,SB-S13,13,step-13,Clone scales along the finger’s direction,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-RET-01;PS-TYP-01;PS-SHP-01,GD-TYP-01;GD-CRIT-01;GD-REP-01,,Core
13,PS-STORMBOUND,SB-S14,14,step-14,Blend the scale-to-skin transition,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-RET-01;PS-FLT-01;PS-SHP-01,GD-CRIT-01;GD-CON-01;GD-REP-01,SB-OBS-01,Core
14,PS-STORMBOUND,SB-S15,15,step-15,Bring the hand into the same colour family,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-RET-01,GD-COL-01;GD-CRIT-01;GD-REP-01,,Core
15,PS-STORMBOUND,SB-S16,16,step-16,Isolate the crow’s feather silhouette,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-LGT-02;PS-FLT-01;PS-SHP-01,GD-CRIT-01;GD-CON-01,,Core
16,PS-STORMBOUND,SB-S17,17,step-17,Balance the bird against the snake,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-LGT-02;PS-SHP-01;PS-DES-01,GD-HIE-01;GD-CRIT-01,,Core
17,PS-STORMBOUND,SB-S18,18,step-18,Match the crow’s exposure,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-CRIT-01;GD-CON-01,,Core
18,PS-STORMBOUND,SB-S19,19,step-19,Prepare a lightning plate without buildings,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-SHP-01,GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
19,PS-STORMBOUND,SB-S20,20,step-20,Use Screen with a controlled dark background,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02,GD-CRIT-01;GD-CON-01,,Core
20,PS-STORMBOUND,SB-S21,21,step-21,Position the bolts and establish the light source,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-FLT-01;PS-TYP-01;PS-DES-01,GD-HIE-01;GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
21,PS-STORMBOUND,SB-S22,22,step-22,Shape the subjects with editable shade,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02,GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
22,PS-STORMBOUND,SB-S23,23,step-23,Add light only where a surface faces it,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-CRIT-01;GD-REP-01,SB-OBS-03,Core
23,PS-STORMBOUND,SB-S24,24,step-24,Blur the wings while keeping the head sharp,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-TYP-01,GD-TYP-01;GD-CRIT-01,,Core
24,PS-STORMBOUND,SB-S25,25,step-25,"Create a separate, editable rain source",PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-TON-01;PS-FLT-01;PS-DES-01,GD-CRIT-01;GD-CON-01,,Core
25,PS-STORMBOUND,SB-S26,26,step-26,Stretch noise into rain streaks,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TON-01;PS-FLT-01;PS-OUT-01,GD-COL-01;GD-CRIT-01,SB-OBS-02,Core
26,PS-STORMBOUND,SB-S27,27,step-27,Separate bright rain from the grey veil,PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-CRIT-01;GD-CON-01,,Core
27,PS-STORMBOUND,SB-S28,28,step-28,Place the far rain as one complete plate,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
28,PS-STORMBOUND,SB-S29,29,step-29,Add a quieter near-rain layer,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-TYP-01,GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
29,PS-STORMBOUND,SB-S30,30,step-30,Protect the eyes and the transformation,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-HIE-01;GD-CRIT-01,,Core
30,PS-STORMBOUND,SB-S31,31,step-31,Suggest wet surfaces with small highlights,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-FLT-01;PS-SHP-01,GD-ALN-01;GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
31,PS-STORMBOUND,SB-S32,32,step-32,Build a tiny splash with a basic brush,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-SHP-01,GD-COL-01;GD-CRIT-01,,Core
32,PS-STORMBOUND,SB-S33,33,step-33,Vary impacts and drifting droplets,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-FLT-01;PS-TYP-01;PS-SHP-01,GD-TYP-01;GD-CRIT-01;GD-REP-01,,Core
33,PS-STORMBOUND,SB-S34,34,step-34,Use mist sparingly to separate depth,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-SHP-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
34,PS-STORMBOUND,SB-S35,35,step-35,Unify colour without crushing contrast,PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-COL-01;GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
35,PS-STORMBOUND,SB-S36,36,step-36,Guide attention with an editable vignette,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-HIE-01;GD-ALN-01;GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
36,PS-STORMBOUND,SB-S37,37,step-37,Inspect the four places that reveal a composite,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-SHP-01,GD-CRIT-01;GD-CON-01;GD-REP-01,SB-CON-02,Core
37,PS-STORMBOUND,SB-S38,38,step-38,Document one purposeful revision,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-SHP-01;PS-OUT-01;PS-DES-01,GD-HIE-01;GD-CRIT-01,,Core
38,PS-STORMBOUND,SB-S39,39,step-39,Save the layered master and export the artwork,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-LGT-02;PS-FLT-01;PS-TYP-01;PS-OUT-01;PS-DES-01,GD-ALN-01;GD-COL-01;GD-TYP-01;GD-CRIT-01,SB-PRO-01;SB-PRO-02;SB-PRO-03,Core
39,PS-STORMBOUND,SB-S40,40,step-40,"Submit evidence, explain choices and credit sources",PS-FND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-OUT-01,GD-COL-01;GD-CRIT-01;GD-CON-01,SB-CON-01,Short
