<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: skybound__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
10,BL-SKYBOUND,SK-S11,11,step-11,Inspect the existing UV map,BL-NAV-01;BL-IMP-01;BL-MAT-01;BL-CAM-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-RET-01;PS-DES-01,GD-HIE-01;GD-ALN-01;GD-CRIT-01,,Core
11,BL-SKYBOUND,SK-S12,12,step-12,Give the fabric a believable surface,BL-NAV-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-LGT-02;PS-TYP-01,GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
12,BL-SKYBOUND,SK-S13,13,step-13,Add a fixed camera,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TYP-01,GD-TYP-01;GD-CRIT-01,,Core
13,BL-SKYBOUND,SK-S14,14,step-14,Set a consistent render canvas,BL-NAV-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01,GD-COL-01;GD-CRIT-01;GD-REP-01,,Core
14,BL-SKYBOUND,SK-S15,15,step-15,Light the balloon from the scene’s left,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02,GD-COL-01;GD-CRIT-01,,Core
15,BL-SKYBOUND,SK-S16,16,step-16,Add gentle fill and ambient light,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
16,BL-SKYBOUND,SK-S17,17,step-17,Test one lighting decision at a time,BL-NAV-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-LGT-02;PS-DES-01,GD-COL-01;GD-BRD-01;GD-CRIT-01;GD-CON-01,SK-OBS-03;SK-CON-01,Core
17,BL-SKYBOUND,SK-S18,18,step-18,Set up a truly transparent render,BL-NAV-01;BL-IMP-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02,GD-COL-01;GD-CRIT-01,,Core
18,BL-SKYBOUND,SK-S19,19,step-19,Save and inspect the small test render,BL-NAV-01;BL-MAT-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-LGT-02;PS-TYP-01;PS-OUT-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,,Core
19,BL-SKYBOUND,SK-S20,20,step-20,Render two genuinely different 3D views,BL-NAV-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-OUT-01;PS-DES-01,GD-CRIT-01,,Core
20,BL-SKYBOUND,SK-S21,21,step-21,Save a portable editable scene,BL-NAV-01;BL-IMP-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-OUT-01;PS-DES-01,GD-HIE-01;GD-CRIT-01,SK-PRO-01,Core
21,BL-SKYBOUND,SK-S22,22,step-22,Start the Photoshop composition,BL-NAV-01;BL-CAM-01;BL-RND-01;PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-TYP-01;PS-DES-01,GD-ALN-01;GD-COL-01;GD-CRIT-01,,Core
22,BL-SKYBOUND,SK-S23,23,step-23,Place the landscape without flattening it,BL-IMP-01;BL-CAM-01;BL-LGT-01;PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-CRIT-01,,Core
23,BL-SKYBOUND,SK-S24,24,step-24,Place your transparent balloon render,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-CAM-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-SHP-01;PS-OUT-01;PS-DES-01,GD-CRIT-01,,Core
24,BL-SKYBOUND,SK-S25,25,step-25,Match tone with a clipped adjustment,BL-NAV-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-CRIT-01;GD-CON-01,,Core
25,BL-SKYBOUND,SK-S26,26,step-26,Guide a subtle highlight with a mask,BL-MAT-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-TYP-01,GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
26,BL-SKYBOUND,SK-S27,27,step-27,Add depth without hiding your work,BL-IMP-01;BL-HIE-01;BL-CAM-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-TYP-01;PS-DES-01,GD-COL-01;GD-TYP-01;GD-BRD-01;GD-CRIT-01,,Core
27,BL-SKYBOUND,SK-S28,28,step-28,Unify the scene with a restrained grade,BL-TRN-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-02;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-COL-01;GD-CRIT-01,,Core
28,BL-SKYBOUND,SK-S29,29,step-29,Round-trip one revision through Blender,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-LGT-02,GD-CRIT-01,SK-CON-02,Core
29,BL-SKYBOUND,SK-S30,30,step-30,"Inspect at 100%, then at thumbnail size",BL-NAV-01;BL-TRN-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-SHP-01;PS-DES-01,GD-BRD-01;GD-CRIT-01;GD-CON-01,,Core
30,BL-SKYBOUND,SK-S31,31,step-31,Save the editable work and export the artwork,BL-NAV-01;BL-TRN-01;BL-HIE-01;BL-RND-01;PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TYP-01;PS-OUT-01;PS-DES-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,SK-PRO-02;SK-PRO-03,Core
31,BL-SKYBOUND,SK-S32,32,step-32,"Explain the decisions, not just the clicks",BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-OUT-01;PS-DES-01,GD-HIE-01;GD-TYP-01;GD-CRIT-01,SK-CON-01;SK-CON-02,Short
