<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: zebra-ironing__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
16,PS-ZEBRA-IRONING,ZI-S17,17,step-17,Warp one continuous texture over the edge,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-LGT-02;PS-DES-01,GD-ALN-01;GD-CRIT-01,,Core
17,PS-ZEBRA-IRONING,ZI-S18,18,step-18,Shape the hem and fit the fabric,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-SHP-01;PS-DES-01,GD-ALN-01;GD-CRIT-01,,Core
18,PS-ZEBRA-IRONING,ZI-S19,19,step-19,Paint shadow folds on a clipped layer,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-RET-01;PS-FLT-01;PS-DES-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
19,PS-ZEBRA-IRONING,ZI-S20,20,step-20,Add restrained highlights,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
20,PS-ZEBRA-IRONING,ZI-S21,21,step-21,Add a tight shadow beneath the iron,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-CRIT-01;GD-CON-01,ZI-OBS-03,Core
21,PS-ZEBRA-IRONING,ZI-S22,22,step-22,Separate fabric from the board,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-SHP-01;PS-DES-01,GD-CRIT-01;GD-CON-01,,Core
22,PS-ZEBRA-IRONING,ZI-S23,23,step-23,Anchor the hoof to the handle,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-DES-01,GD-CRIT-01;GD-CON-01,,Core
23,PS-ZEBRA-IRONING,ZI-S24,24,step-24,Ground the zebra and the stand,PS-SEL-01;PS-LAY-01;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-COL-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
24,PS-ZEBRA-IRONING,ZI-S25,25,step-25,Match the photographed pieces,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-OUT-01;PS-DES-01,GD-COL-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
25,PS-ZEBRA-IRONING,ZI-S26,26,step-26,Do a two-background edge inspection,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-RET-01;PS-TYP-01;PS-DES-01,GD-COL-01;GD-TYP-01;GD-MET-01;GD-CRIT-01;GD-CON-01,ZI-CON-02,Core
26,PS-ZEBRA-IRONING,ZI-S27,27,step-27,Turn the composite into a visual advertisement,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TYP-01;PS-DES-01,GD-HIE-01;GD-COL-01;GD-TYP-01;GD-BRD-01;GD-AUD-01;GD-CRIT-01,ZI-CON-01,Core
27,PS-ZEBRA-IRONING,ZI-S28,28,step-28,Audit the layer stack and save the master,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-OUT-01,GD-ALN-01;GD-TYP-01;GD-MET-01;GD-CRIT-01,ZI-PRO-01,Core
28,PS-ZEBRA-IRONING,ZI-S29,29,step-29,Export a clean viewing copy,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TYP-01;PS-OUT-01;PS-DES-01,GD-ALN-01;GD-COL-01;GD-TYP-01;GD-MET-01;GD-CRIT-01,ZI-PRO-02;ZI-PRO-03,Core
29,PS-ZEBRA-IRONING,ZI-S30,30,step-30,Submit evidence and explain one decision,PS-SEL-01;PS-LAY-01;PS-TRN-02;PS-BLD-02;PS-LGT-02;PS-OUT-01,GD-MET-01;GD-CRIT-01,ZI-CON-01;ZI-CON-02,Short
