<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: cereal-box__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
20,PS-CEREAL-BOX,CB-S21,21,step-21,Send a few rings into the air,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-SHP-01;PS-EFX-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
21,PS-CEREAL-BOX,CB-S22,22,step-22,Build an original dinosaur silhouette,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SEL-02;PS-TRN-01;PS-BLD-02;PS-TYP-01;PS-SHP-01,GD-TYP-01;GD-CRIT-01,,Core
22,PS-CEREAL-BOX,CB-S23,23,step-23,Shade the dinosaur and add a belly,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-SHP-01,GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
23,PS-CEREAL-BOX,CB-S24,24,step-24,Give the mascot a face and an arm,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SEL-02;PS-BLD-02;PS-LGT-02;PS-SHP-01,GD-CRIT-01;GD-CON-01,,Core
24,PS-CEREAL-BOX,CB-S25,25,step-25,Ground the bowl and audit the scene,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-TYP-01;PS-SHP-01,GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
25,PS-CEREAL-BOX,CB-S26,26,step-26,Set the six live letters,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-TYP-01;PS-DES-01,GD-COL-01;GD-TYP-01;GD-BRD-01;GD-CRIT-01;GD-REP-01,,Core
26,PS-CEREAL-BOX,CB-S27,27,step-27,Give the letters a controlled depth edge,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-TYP-01;PS-SHP-01;PS-EFX-01;PS-DES-01,GD-COL-01;GD-TYP-01;GD-BRD-01;GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
27,PS-CEREAL-BOX,CB-S28,28,step-28,Replace all three O letters with cereal,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-EFX-01;PS-DES-01,GD-COL-01;GD-TYP-01;GD-BRD-01;GD-CRIT-01,,Core
28,PS-CEREAL-BOX,CB-S29,29,step-29,Unify the wordmark with a backing panel,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-DES-01,GD-ALN-01;GD-TYP-01;GD-BRD-01;GD-CRIT-01,,Core
29,PS-CEREAL-BOX,CB-S30,30,step-30,Add copy with a clear hierarchy,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-RET-01;PS-TYP-01;PS-SHP-01;PS-DES-01,GD-HIE-01;GD-ALN-01;GD-TYP-01;GD-BRD-01;GD-CRIT-01,,Core
30,PS-CEREAL-BOX,CB-S31,31,step-31,Add one restrained finishing highlight,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SEL-02;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-TYP-01;PS-SHP-01;PS-OUT-01,GD-TYP-01;GD-CRIT-01;GD-REP-01,,Core
31,PS-CEREAL-BOX,CB-S32,32,step-32,Check colour without tinting the milk,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-OUT-01,GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
32,PS-CEREAL-BOX,CB-S33,33,step-33,Run the five-second readability test,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TYP-01;PS-OUT-01;PS-DES-01,GD-HIE-01;GD-ALN-01;GD-TYP-01;GD-CRIT-01,CB-CON-01,Core
33,PS-CEREAL-BOX,CB-S34,34,step-34,"Inspect edges, holes and layer structure",PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-BLD-02;PS-LGT-02;PS-RET-01;PS-TYP-01;PS-SHP-01;PS-OUT-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,CB-PRO-01,Core
34,PS-CEREAL-BOX,CB-S35,35,step-35,Export the front and reopen it,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-OUT-01,GD-COL-01;GD-CRIT-01,CB-PRO-02;CB-PRO-03,Core
35,PS-CEREAL-BOX,CB-S36,36,step-36,Submit evidence and explain your decisions,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02;PS-OUT-01;PS-DES-01,GD-HIE-01;GD-CRIT-01,CB-CON-01;CB-CON-02,Short
36,PS-CEREAL-BOX,CB-S37,37,step-37,Prepare an optional presentation mockup,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02,GD-CRIT-01,,Core
37,PS-CEREAL-BOX,CB-S38,38,step-38,Fit the front to four exact corners,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-TYP-01;PS-OUT-01,GD-ALN-01;GD-TYP-01;GD-CRIT-01,,Core
38,PS-CEREAL-BOX,CB-S39,39,step-39,Add the side and top panels,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02;PS-BLD-02;PS-OUT-01;PS-DES-01,GD-ALN-01;GD-COL-01;GD-BRD-01;GD-CRIT-01,,Core
39,PS-CEREAL-BOX,CB-S40,40,step-40,Finish and export the optional mockup,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-SHP-01;PS-OUT-01,GD-ALN-01;GD-CRIT-01;GD-CON-01,,Short
